# power spectrum of hij
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.988651e-03   2.627370e-17   3.042824e-04   3.961164e-18   18
  3.261094e-03   1.146684e-17   3.182994e-04   1.258046e-18   38
  4.478008e-03   8.147820e-18   4.290016e-04   6.679495e-19   90
  5.630452e-03   5.426221e-18   2.964159e-04   3.506376e-19   110
  6.837726e-03   3.890587e-18   3.149124e-04   1.853189e-19   204
  8.165126e-03   2.861986e-18   3.211192e-04   1.076927e-19   290
  9.559839e-03   2.022089e-18   3.955901e-04   6.980641e-20   438
  1.086250e-02   1.595997e-18   3.573991e-04   5.187639e-20   458
  1.201725e-02   1.339853e-18   3.744811e-04   3.917908e-20   558
  1.322389e-02   1.115379e-18   3.613513e-04   2.612284e-20   740
  1.454469e-02   8.351293e-19   3.526848e-04   1.815041e-20   942
  1.585600e-02   7.115052e-19   3.340389e-04   1.573662e-20   1058
  1.713294e-02   6.083986e-19   3.655105e-04   1.173293e-20   1242
  1.836038e-02   5.032394e-19   3.656161e-04   8.638836e-21   1334
  1.956460e-02   4.463069e-19   3.655757e-04   6.841090e-21   1572
  2.086861e-02   3.683470e-19   3.777731e-04   2.557058e-21   1974
  2.218880e-02   3.079025e-19   3.391311e-04   0.000000e+00   2066
  2.344805e-02   2.656234e-19   3.481276e-04   0.000000e+00   2286
  2.467500e-02   2.355300e-19   3.464777e-04   0.000000e+00   2426
  2.591952e-02   1.974248e-19   3.785659e-04   0.000000e+00   2874
  2.719249e-02   1.727454e-19   3.666401e-04   0.000000e+00   3128
  2.845892e-02   1.527321e-19   3.472629e-04   0.000000e+00   3354
  2.974649e-02   1.354048e-19   3.750421e-04   0.000000e+00   3902
  3.102864e-02   1.201567e-19   3.568272e-04   0.000000e+00   3930
  3.224489e-02   1.042927e-19   3.574175e-04   0.000000e+00   4190
  3.347364e-02   9.333107e-20   3.561514e-04   0.000000e+00   4644
  3.476590e-02   8.142846e-20   3.732687e-04   0.000000e+00   5306
  3.607521e-02   7.130541e-20   3.705837e-04   0.000000e+00   5622
  3.735070e-02   6.374987e-20   3.582303e-04   0.000000e+00   5762
  3.860581e-02   5.752124e-20   3.864403e-04   0.000000e+00   6318
  3.985370e-02   5.332599e-20   3.613925e-04   0.000000e+00   6436
  4.111106e-02   4.686628e-20   3.575980e-04   0.000000e+00   7270
  4.241144e-02   4.245466e-20   3.678662e-04   0.000000e+00   7746
  4.367615e-02   3.832444e-20   3.566989e-04   0.000000e+00   7778
  4.494548e-02   3.534815e-20   3.894656e-04   0.000000e+00   8838
  4.622062e-02   3.192377e-20   3.616284e-04   0.000000e+00   8762
  4.745564e-02   2.873337e-20   3.564785e-04   0.000000e+00   9264
  4.872100e-02   2.699688e-20   3.428255e-04   0.000000e+00   10154
  5.000233e-02   2.439974e-20   3.646390e-04   0.000000e+00   10542
  5.126264e-02   2.209578e-20   3.661760e-04   0.000000e+00   10874
  5.251388e-02   2.048512e-20   3.458637e-04   0.000000e+00   11562
  5.377258e-02   1.872493e-20   3.559082e-04   0.000000e+00   12104
  5.504296e-02   1.764574e-20   3.580373e-04   0.000000e+00   12858
  5.632574e-02   1.609489e-20   3.445004e-04   0.000000e+00   13526
  5.758889e-02   1.493409e-20   3.357894e-04   0.000000e+00   13650
  5.883708e-02   1.373625e-20   3.634127e-04   0.000000e+00   14462
  6.010412e-02   1.284690e-20   3.645062e-04   0.000000e+00   15348
  6.137227e-02   1.190149e-20   3.635464e-04   0.000000e+00   15738
  6.263234e-02   1.113712e-20   3.453595e-04   0.000000e+00   16382
  6.389791e-02   1.034358e-20   3.677110e-04   0.000000e+00   17274
  6.517929e-02   9.718904e-21   3.772194e-04   0.000000e+00   18158
  6.643870e-02   9.144688e-21   3.514641e-04   0.000000e+00   18114
  6.768484e-02   8.374045e-21   3.806091e-04   0.000000e+00   19124
  6.896111e-02   8.024545e-21   3.720280e-04   0.000000e+00   20382
  7.023712e-02   7.521569e-21   3.698781e-04   0.000000e+00   20690
  7.150383e-02   7.050274e-21   3.644940e-04   0.000000e+00   21534
  7.275978e-02   6.589026e-21   3.795444e-04   0.000000e+00   21938
  7.402260e-02   6.214078e-21   3.785680e-04   0.000000e+00   23280
  7.529491e-02   5.797616e-21   3.574921e-04   0.000000e+00   23762
  7.655069e-02   5.464206e-21   3.468149e-04   0.000000e+00   24258
  7.780767e-02   5.174782e-21   4.050160e-04   0.000000e+00   25454
  7.907792e-02   4.916220e-21   3.696955e-04   0.000000e+00   26538
  8.034071e-02   4.603741e-21   3.421206e-04   0.000000e+00   26776
  8.159771e-02   4.371221e-21   3.584319e-04   0.000000e+00   27970
  8.287238e-02   4.122375e-21   3.731036e-04   0.000000e+00   29262
  8.414567e-02   3.905683e-21   3.727213e-04   0.000000e+00   29594
  8.540349e-02   3.656620e-21   3.611346e-04   0.000000e+00   30498
  8.666391e-02   3.518483e-21   3.496375e-04   0.000000e+00   31502
  8.792569e-02   3.342422e-21   3.808000e-04   0.000000e+00   32412
  8.919536e-02   3.153605e-21   3.365219e-04   0.000000e+00   33710
  9.046894e-02   2.991696e-21   3.635834e-04   0.000000e+00   34482
  9.173605e-02   2.854490e-21   3.547088e-04   0.000000e+00   35366
  9.299562e-02   2.699673e-21   3.427932e-04   0.000000e+00   35970
  9.425487e-02   2.591237e-21   3.657807e-04   0.000000e+00   37460
  9.552353e-02   2.445006e-21   3.654152e-04   0.000000e+00   38358
  9.679525e-02   2.343592e-21   4.042545e-04   0.000000e+00   39722
  9.806244e-02   2.216856e-21   3.633231e-04   0.000000e+00   40158
  9.931563e-02   2.114616e-21   3.418729e-04   0.000000e+00   40922
  1.005750e-01   2.015525e-21   4.040728e-04   0.000000e+00   42720
  1.018300e-01   1.946718e-21   3.327621e-04   0.000000e+00   42546
  1.030968e-01   1.845670e-21   4.138153e-04   0.000000e+00   45770
  1.043888e-01   1.785945e-21   3.585180e-04   0.000000e+00   46590
  1.056648e-01   1.685573e-21   4.337975e-04   0.000000e+00   46898
  1.069191e-01   1.629214e-21   3.767278e-04   0.000000e+00   47310
  1.081747e-01   1.551408e-21   3.877026e-04   0.000000e+00   49148
  1.094442e-01   1.491101e-21   3.065853e-04   0.000000e+00   50574
  1.107029e-01   1.435793e-21   3.990819e-04   0.000000e+00   50690
  1.119687e-01   1.376435e-21   4.000166e-04   0.000000e+00   53490
  1.132462e-01   1.321435e-21   3.978481e-04   0.000000e+00   54206
  1.145049e-01   1.270071e-21   3.570659e-04   0.000000e+00   54300
  1.157691e-01   1.227980e-21   2.855982e-04   0.000000e+00   56870
  1.170411e-01   1.171765e-21   2.623023e-04   0.000000e+00   57618
  1.182952e-01   1.133883e-21   3.606588e-04   0.000000e+00   57614
  1.195602e-01   1.087528e-21   3.635592e-04   0.000000e+00   61242
  1.208358e-01   1.053305e-21   3.762427e-04   0.000000e+00   61268
  1.221025e-01   1.018931e-21   3.640436e-04   0.000000e+00   62838
  1.233685e-01   9.739004e-22   3.467385e-04   0.000000e+00   63906
  1.246282e-01   9.342208e-22   3.882169e-04   0.000000e+00   64526
  1.258859e-01   9.045744e-22   3.738536e-04   0.000000e+00   66666
  1.271435e-01   8.719829e-22   3.691422e-04   0.000000e+00   66950
  1.284122e-01   8.443112e-22   3.342573e-04   0.000000e+00   70668
  1.296898e-01   8.148876e-22   3.859437e-04   0.000000e+00   70634
  1.309531e-01   7.929554e-22   3.868135e-04   0.000000e+00   71814
  1.322202e-01   7.590976e-22   3.963153e-04   0.000000e+00   74018
  1.334881e-01   7.389574e-22   4.132342e-04   0.000000e+00   74502
  1.347481e-01   7.112113e-22   3.708085e-04   0.000000e+00   76172
  1.360084e-01   6.953502e-22   3.391715e-04   0.000000e+00   77082
  1.372752e-01   6.741070e-22   3.972960e-04   0.000000e+00   80006
  1.385480e-01   6.485470e-22   3.508822e-04   0.000000e+00   80754
  1.398104e-01   6.316966e-22   2.988971e-04   0.000000e+00   81710
  1.410710e-01   6.090057e-22   3.938085e-04   0.000000e+00   83580
  1.423419e-01   5.925002e-22   3.513271e-04   0.000000e+00   85782
  1.436087e-01   5.721658e-22   3.937425e-04   0.000000e+00   86210
  1.448701e-01   5.564557e-22   3.877749e-04   0.000000e+00   87978
  1.461348e-01   5.437043e-22   3.494484e-04   0.000000e+00   89822
  1.473961e-01   5.263194e-22   3.679862e-04   0.000000e+00   90828
  1.486625e-01   5.096547e-22   4.084154e-04   0.000000e+00   93494
  1.499365e-01   4.983653e-22   2.844880e-04   0.000000e+00   94962
  1.512037e-01   4.814665e-22   3.760926e-04   0.000000e+00   95870
  1.524640e-01   4.678792e-22   3.285397e-04   0.000000e+00   97002
  1.537276e-01   4.569415e-22   3.695494e-04   0.000000e+00   99770
  1.549892e-01   4.453445e-22   2.569850e-04   0.000000e+00   99936
  1.562515e-01   4.301981e-22   3.400663e-04   0.000000e+00   103034
  1.575227e-01   4.202513e-22   2.256798e-04   0.000000e+00   104838
  1.587877e-01   4.064689e-22   3.350015e-04   0.000000e+00   105218
  1.600481e-01   3.991149e-22   3.306472e-04   0.000000e+00   107526
  1.613086e-01   3.881829e-22   3.838946e-04   0.000000e+00   108772
  1.625773e-01   3.772029e-22   2.975239e-04   0.000000e+00   111946
  1.638431e-01   3.679147e-22   3.533000e-04   0.000000e+00   112134
  1.651087e-01   3.585978e-22   3.850235e-04   0.000000e+00   115178
  1.663731e-01   3.501135e-22   2.949301e-04   0.000000e+00   115614
  1.676376e-01   3.412601e-22   3.753103e-04   0.000000e+00   118652
  1.689072e-01   3.328128e-22   4.152223e-04   0.000000e+00   120126
  1.701722e-01   3.262434e-22   2.998115e-04   0.000000e+00   121202
  1.714319e-01   3.180445e-22   3.405900e-04   0.000000e+00   122754
  1.726986e-01   3.095029e-22   3.331173e-04   0.000000e+00   126542
  1.739653e-01   3.039888e-22   3.896492e-04   0.000000e+00   126138
  1.752293e-01   2.941121e-22   4.194955e-04   0.000000e+00   130016
