# power spectrum of phi
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.988651e-03   2.117911e-10   3.042824e-04   4.571873e-11   18
  3.261094e-03   3.722579e-10   3.182994e-04   8.306595e-11   38
  4.478008e-03   4.265723e-10   4.290016e-04   4.667736e-11   90
  5.630452e-03   4.292164e-10   2.964159e-04   3.820590e-11   110
  6.837726e-03   4.112962e-10   3.149124e-04   2.636071e-11   204
  8.165126e-03   3.272947e-10   3.211192e-04   1.930836e-11   290
  9.559839e-03   3.330832e-10   3.955901e-04   1.506403e-11   438
  1.086250e-02   3.112081e-10   3.573991e-04   1.664766e-11   458
  1.201725e-02   3.045154e-10   3.744811e-04   1.288628e-11   558
  1.322389e-02   2.476083e-10   3.613513e-04   9.052149e-12   740
  1.454469e-02   2.383634e-10   3.526848e-04   7.785836e-12   942
  1.585600e-02   2.223153e-10   3.340389e-04   6.517575e-12   1058
  1.713294e-02   2.143032e-10   3.655105e-04   6.044833e-12   1242
  1.836038e-02   1.841459e-10   3.656161e-04   5.124008e-12   1334
  1.956460e-02   1.749799e-10   3.655757e-04   4.322546e-12   1572
  2.086861e-02   1.614364e-10   3.777731e-04   3.842310e-12   1974
  2.218880e-02   1.514244e-10   3.391311e-04   3.339525e-12   2066
  2.344805e-02   1.390338e-10   3.481276e-04   2.964209e-12   2286
  2.467500e-02   1.300112e-10   3.464777e-04   2.697784e-12   2426
  2.591952e-02   1.234247e-10   3.785659e-04   2.273981e-12   2874
  2.719249e-02   1.119058e-10   3.666401e-04   1.995071e-12   3128
  2.845892e-02   1.057508e-10   3.472629e-04   1.827186e-12   3354
  2.974649e-02   9.301488e-11   3.750421e-04   1.510872e-12   3902
  3.102864e-02   9.007187e-11   3.568272e-04   1.440897e-12   3930
  3.224489e-02   8.566287e-11   3.574175e-04   1.341205e-12   4190
  3.347364e-02   7.779433e-11   3.561514e-04   1.152736e-12   4644
  3.476590e-02   7.255582e-11   3.732687e-04   9.745207e-13   5306
  3.607521e-02   6.711685e-11   3.705837e-04   8.629610e-13   5622
  3.735070e-02   6.496676e-11   3.582303e-04   8.502592e-13   5762
  3.860581e-02   5.910188e-11   3.864403e-04   7.733509e-13   6318
  3.985370e-02   5.516163e-11   3.613925e-04   6.679816e-13   6436
  4.111106e-02   5.217952e-11   3.575980e-04   5.889412e-13   7270
  4.241144e-02   4.941612e-11   3.678662e-04   5.592514e-13   7746
  4.367615e-02   4.618480e-11   3.566989e-04   5.255044e-13   7778
  4.494548e-02   4.335942e-11   3.894656e-04   4.623742e-13   8838
  4.622062e-02   4.226599e-11   3.616284e-04   4.507364e-13   8762
  4.745564e-02   3.963220e-11   3.564785e-04   4.106795e-13   9264
  4.872100e-02   3.692624e-11   3.428255e-04   3.602073e-13   10154
  5.000233e-02   3.581691e-11   3.646390e-04   3.389254e-13   10542
  5.126264e-02   3.403645e-11   3.661760e-04   3.321838e-13   10874
  5.251388e-02   3.175299e-11   3.458637e-04   2.903938e-13   11562
  5.377258e-02   3.152775e-11   3.559082e-04   2.892123e-13   12104
  5.504296e-02   3.010284e-11   3.580373e-04   2.613482e-13   12858
  5.632574e-02   2.912692e-11   3.445004e-04   2.497836e-13   13526
  5.758889e-02   2.764969e-11   3.357894e-04   2.280382e-13   13650
  5.883708e-02   2.674181e-11   3.634127e-04   2.235627e-13   14462
  6.010412e-02   2.559294e-11   3.645062e-04   2.037728e-13   15348
  6.137227e-02   2.501962e-11   3.635464e-04   1.974393e-13   15738
  6.263234e-02   2.423606e-11   3.453595e-04   1.914772e-13   16382
  6.389791e-02   2.350231e-11   3.677110e-04   1.779169e-13   17274
  6.517929e-02   2.254563e-11   3.772194e-04   1.667782e-13   18158
  6.643870e-02   2.176249e-11   3.514641e-04   1.590862e-13   18114
  6.768484e-02   2.167034e-11   3.806091e-04   1.545089e-13   19124
  6.896111e-02   2.051535e-11   3.720280e-04   1.424683e-13   20382
  7.023712e-02   1.989234e-11   3.698781e-04   1.377268e-13   20690
  7.150383e-02   1.881774e-11   3.644940e-04   1.275500e-13   21534
  7.275978e-02   1.831093e-11   3.795444e-04   1.247115e-13   21938
  7.402260e-02   1.776612e-11   3.785680e-04   1.157584e-13   23280
  7.529491e-02   1.690542e-11   3.574921e-04   1.099308e-13   23762
  7.655069e-02   1.646988e-11   3.468149e-04   1.066998e-13   24258
  7.780767e-02   1.598602e-11   4.050160e-04   1.005681e-13   25454
  7.907792e-02   1.545624e-11   3.696955e-04   9.405437e-14   26538
  8.034071e-02   1.458830e-11   3.421206e-04   8.902387e-14   26776
  8.159771e-02   1.388766e-11   3.584319e-04   8.237945e-14   27970
  8.287238e-02   1.340882e-11   3.731036e-04   7.801246e-14   29262
  8.414567e-02   1.315420e-11   3.727213e-04   7.599675e-14   29594
  8.540349e-02   1.244735e-11   3.611346e-04   7.089021e-14   30498
  8.666391e-02   1.218172e-11   3.496375e-04   6.793264e-14   31502
  8.792569e-02   1.166193e-11   3.808000e-04   6.489460e-14   32412
  8.919536e-02   1.121233e-11   3.365219e-04   6.012660e-14   33710
  9.046894e-02   1.082530e-11   3.635834e-04   5.828599e-14   34482
  9.173605e-02   1.051351e-11   3.547088e-04   5.523459e-14   35366
  9.299562e-02   9.972127e-12   3.427932e-04   5.170078e-14   35970
  9.425487e-02   9.670736e-12   3.657807e-04   4.935214e-14   37460
  9.552353e-02   9.352630e-12   3.654152e-04   4.749780e-14   38358
  9.679525e-02   8.993107e-12   4.042545e-04   4.463368e-14   39722
  9.806244e-02   8.722172e-12   3.633231e-04   4.357262e-14   40158
  9.931563e-02   8.422156e-12   3.418729e-04   4.102219e-14   40922
  1.005750e-01   8.096646e-12   4.040728e-04   3.899533e-14   42720
  1.018300e-01   7.942355e-12   3.327621e-04   3.838250e-14   42546
  1.030968e-01   7.746034e-12   4.138153e-04   3.598328e-14   45770
  1.043888e-01   7.422554e-12   3.585180e-04   3.439464e-14   46590
  1.056648e-01   7.296514e-12   4.337975e-04   3.365490e-14   46898
  1.069191e-01   7.066998e-12   3.767278e-04   3.248922e-14   47310
  1.081747e-01   6.840875e-12   3.877026e-04   3.071287e-14   49148
  1.094442e-01   6.644736e-12   3.065853e-04   2.948428e-14   50574
  1.107029e-01   6.580331e-12   3.990819e-04   2.926232e-14   50690
  1.119687e-01   6.335783e-12   4.000166e-04   2.712724e-14   53490
  1.132462e-01   6.260216e-12   3.978481e-04   2.686608e-14   54206
  1.145049e-01   6.124232e-12   3.570659e-04   2.622458e-14   54300
  1.157691e-01   5.931344e-12   2.855982e-04   2.480426e-14   56870
  1.170411e-01   5.897175e-12   2.623023e-04   2.445672e-14   57618
  1.182952e-01   5.736943e-12   3.606588e-04   2.391826e-14   57614
  1.195602e-01   5.638618e-12   3.635592e-04   2.274862e-14   61242
  1.208358e-01   5.487273e-12   3.762427e-04   2.185713e-14   61268
  1.221025e-01   5.380519e-12   3.640436e-04   2.124845e-14   62838
  1.233685e-01   5.221185e-12   3.467385e-04   2.055216e-14   63906
  1.246282e-01   5.116798e-12   3.882169e-04   1.992366e-14   64526
  1.258859e-01   5.109887e-12   3.738536e-04   1.967887e-14   66666
  1.271435e-01   4.939305e-12   3.691422e-04   1.901958e-14   66950
  1.284122e-01   4.830864e-12   3.342573e-04   1.830562e-14   70668
  1.296898e-01   4.742473e-12   3.859437e-04   1.770255e-14   70634
  1.309531e-01   4.673697e-12   3.868135e-04   1.733322e-14   71814
  1.322202e-01   4.548808e-12   3.963153e-04   1.654704e-14   74018
  1.334881e-01   4.457703e-12   4.132342e-04   1.617491e-14   74502
  1.347481e-01   4.345791e-12   3.708085e-04   1.576135e-14   76172
  1.360084e-01   4.263859e-12   3.391715e-04   1.509640e-14   77082
  1.372752e-01   4.135862e-12   3.972960e-04   1.456608e-14   80006
  1.385480e-01   4.123036e-12   3.508822e-04   1.445603e-14   80754
  1.398104e-01   3.960487e-12   2.988971e-04   1.389762e-14   81710
  1.410710e-01   3.909848e-12   3.938085e-04   1.333719e-14   83580
  1.423419e-01   3.827854e-12   3.513271e-04   1.298680e-14   85782
  1.436087e-01   3.768674e-12   3.937425e-04   1.270074e-14   86210
  1.448701e-01   3.648207e-12   3.877749e-04   1.221328e-14   87978
  1.461348e-01   3.575379e-12   3.494484e-04   1.188511e-14   89822
  1.473961e-01   3.478886e-12   3.679862e-04   1.136868e-14   90828
  1.486625e-01   3.423844e-12   4.084154e-04   1.117656e-14   93494
  1.499365e-01   3.353021e-12   2.844880e-04   1.087775e-14   94962
  1.512037e-01   3.264191e-12   3.760926e-04   1.044655e-14   95870
  1.524640e-01   3.179784e-12   3.285397e-04   1.018311e-14   97002
  1.537276e-01   3.116445e-12   3.695494e-04   9.785226e-15   99770
  1.549892e-01   3.078050e-12   2.569850e-04   9.686505e-15   99936
  1.562515e-01   2.999858e-12   3.400663e-04   9.225530e-15   103034
  1.575227e-01   2.933062e-12   2.256798e-04   9.057558e-15   104838
  1.587877e-01   2.883342e-12   3.350015e-04   8.857190e-15   105218
  1.600481e-01   2.817831e-12   3.306472e-04   8.523424e-15   107526
  1.613086e-01   2.744212e-12   3.838946e-04   8.309350e-15   108772
  1.625773e-01   2.697936e-12   2.975239e-04   7.975062e-15   111946
  1.638431e-01   2.651343e-12   3.533000e-04   7.873253e-15   112134
  1.651087e-01   2.595144e-12   3.850235e-04   7.599676e-15   115178
  1.663731e-01   2.537827e-12   2.949301e-04   7.459304e-15   115614
  1.676376e-01   2.506706e-12   3.753103e-04   7.220305e-15   118652
  1.689072e-01   2.477323e-12   4.152223e-04   7.099395e-15   120126
  1.701722e-01   2.418993e-12   2.998115e-04   6.881345e-15   121202
  1.714319e-01   2.388743e-12   3.405900e-04   6.712642e-15   122754
  1.726986e-01   2.341035e-12   3.331173e-04   6.538091e-15   126542
  1.739653e-01   2.307645e-12   3.896492e-04   6.442766e-15   126138
  1.752293e-01   2.280857e-12   4.194955e-04   6.307802e-15   130016
  1.764964e-01   2.245173e-12   2.986181e-04   6.139049e-15   130050
  1.777568e-01   2.193092e-12   4.248991e-04   5.967663e-15   132518
  1.790283e-01   2.165444e-12   3.403210e-04   5.843676e-15   136194
  1.802933e-01   2.126278e-12   3.512254e-04   5.775500e-15   134978
  1.815525e-01   2.103924e-12   4.086764e-04   5.611087e-15   139056
  1.828278e-01   2.057799e-12   3.309029e-04   5.434140e-15   141906
  1.840980e-01   2.038209e-12   3.491635e-04   5.383991e-15   141998
  1.853584e-01   2.011129e-12   3.552747e-04   5.263508e-15   143754
  1.866215e-01   1.976735e-12   3.886935e-04   5.148569e-15   146294
  1.878872e-01   1.942071e-12   4.376893e-04   5.005517e-15   148596
  1.891497e-01   1.916456e-12   3.944271e-04   4.932038e-15   149354
  1.904171e-01   1.898468e-12   3.585118e-04   4.800571e-15   153750
  1.916829e-01   1.871656e-12   4.530061e-04   4.758116e-15   153218
  1.929456e-01   1.853031e-12   1.577057e-04   4.647766e-15   156774
  1.942117e-01   1.821861e-12   4.050897e-04   4.547688e-15   158546
  1.954733e-01   1.782238e-12   6.611012e-04   4.429973e-15   159696
