# Matter power spectrum P(k) at redshift z=0
# for k=1.05392e-05 to 105.5 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.053918787543e-05       5.117069677254e+01 
       1.326805143606e-05       6.385731189982e+01 
       1.670348711784e-05       7.968922732662e+01 
       2.102844439823e-05       9.944614230535e+01 
       2.647324302343e-05       1.241010168549e+02 
       3.332783837480e-05       1.548678218597e+02 
       4.195726265021e-05       1.932611834016e+02 
       5.282106415967e-05       2.411705342074e+02 
       6.649777994862e-05       3.009523886435e+02 
       8.371574500521e-05       3.755447983871e+02 
       1.053918787543e-04       4.686089175153e+02 
       1.326805143606e-04       5.847031268812e+02 
       1.670348711784e-04       7.294954864382e+02 
       2.102844439823e-04       9.100195373290e+02 
       2.647324302343e-04       1.134976042744e+03 
       3.332783837480e-04       1.415077763363e+03 
       4.195726265021e-04       1.763424171452e+03 
       5.282106415967e-04       2.195878129070e+03 
       6.649777994862e-04       2.731396897743e+03 
       8.371574500521e-04       3.392241398489e+03 
       1.053918787543e-03       4.203920040429e+03 
       1.326805143606e-03       5.194581867176e+03 
       1.670348711784e-03       6.393314410292e+03 
       2.102844439823e-03       7.827621552369e+03 
       2.647324302343e-03       9.518592943593e+03 
       3.332783837480e-03       1.147459406325e+04 
       4.195726265021e-03       1.368255997469e+04 
       5.282106415967e-03       1.609621284706e+04 
       6.649777994862e-03       1.862238328645e+04 
       8.371574500521e-03       2.110367599863e+04 
       1.053918787543e-02       2.330336642542e+04 
       1.326805143606e-02       2.489983948928e+04 
       1.670348711782e-02       2.550383100246e+04 
       2.102844423000e-02       2.473194088317e+04 
       2.647311508759e-02       2.241108445871e+04 
       3.331014445964e-02       1.889292258012e+04 
       4.136885460944e-02       1.537533709086e+04 
       4.816661498511e-02       1.335392501081e+04 
       5.309592667177e-02       1.235453945814e+04 
       5.716027213130e-02       1.172753959292e+04 
       6.078887689376e-02       1.125207358090e+04 
       6.417301183884e-02       1.083594766105e+04 
       6.741388326782e-02       1.043287188076e+04 
       7.057216188573e-02       1.001815384702e+04 
       7.368769346297e-02       9.580000864029e+03 
       7.678855618444e-02       9.115512398782e+03 
       7.989569616866e-02       8.628430356075e+03 
       8.302550294513e-02       8.127438957606e+03 
       8.619133535352e-02       7.624536718594e+03 
       8.940447334071e-02       7.133386378459e+03 
       9.267473708059e-02       6.667670802310e+03 
       9.601090385039e-02       6.239590554828e+03 
       9.942099686107e-02       5.858487910191e+03 
       1.029124901290e-01       5.529893762417e+03 
       1.064924565837e-01       5.254939132305e+03 
       1.101676767479e-01       5.030084584453e+03 
       1.139447193710e-01       4.847295080230e+03 
       1.178300016993e-01       4.694572726255e+03 
       1.218298347122e-01       4.557050556845e+03 
       1.259504571236e-01       4.418731911904e+03 
       1.301980609468e-01       4.265069380093e+03 
       1.345788107502e-01       4.085702435668e+03 
       1.390988582889e-01       3.877035183213e+03 
       1.437643538992e-01       3.643397000763e+03 
       1.485814558534e-01       3.396275058925e+03 
       1.535563387398e-01       3.151625350297e+03 
       1.586952018580e-01       2.925927063187e+03 
       1.640042785656e-01       2.732045941399e+03 
       1.694898474838e-01       2.576016527115e+03 
       1.751582464469e-01       2.455506460117e+03 
       1.810158900696e-01       2.360325751503e+03 
       1.870692917951e-01       2.275683847964e+03 
       1.933250912854e-01       2.185276608556e+03 
       1.997900880147e-01       2.076989920517e+03 
       2.064712819438e-01       1.949308174931e+03 
       2.133759221837e-01       1.811014629513e+03 
       2.205115646163e-01       1.676435341661e+03 
       2.278861395380e-01       1.558563354825e+03 
       2.355080305422e-01       1.463835393091e+03 
       2.433861660729e-01       1.389865855488e+03 
       2.515301253921e-01       1.326632026144e+03 
       2.599502611228e-01       1.261812438083e+03 
       2.686578411025e-01       1.187918808895e+03 
       2.776652130364e-01       1.106404088520e+03 
       2.869859964475e-01       1.026008618571e+03 
       2.966353077477e-01       9.559527067537e+02 
       3.066300260112e-01       8.988521509773e+02 
       3.169891093796e-01       8.497530606708e+02 
       3.277339751681e-01       8.010120952084e+02 
       3.388889610125e-01       7.486509971900e+02 
       3.504818902473e-01       6.954137780983e+02 
       3.625447728490e-01       6.467821567888e+02 
       3.751146847558e-01       6.049771714155e+02 
       3.882348848407e-01       5.668790594060e+02 
       4.019562528021e-01       5.286453124519e+02 
       4.163391668784e-01       4.902797294394e+02 
       4.314559942899e-01       4.544529362204e+02 
       4.473944509880e-01       4.220552872634e+02 
       4.642622201314e-01       3.913476091055e+02 
       4.821934354078e-01       3.609641099942e+02 
       5.013579996608e-01       3.320116861970e+02 
       5.219753429807e-01       3.050854593925e+02 
       5.443353695948e-01       2.788933752363e+02 
       5.688315040792e-01       2.535354202723e+02 
       5.960150320369e-01       2.292652581236e+02 
       6.266889140924e-01       2.054605706082e+02 
       6.620793148496e-01       1.821608590331e+02 
       7.041710860999e-01       1.589558081944e+02 
       7.564162908969e-01       1.355518550841e+02 
       8.253512520039e-01       1.114397453218e+02 
       9.244174391603e-01       8.615684203689e+01 
       1.081054574453e+00       6.010838404448e+01 
       1.330420137806e+00       3.699715329076e+01 
       1.672107132583e+00       2.147393646623e+01 
       2.105005058756e+00       1.230281311363e+01 
       2.650044162511e+00       6.990079439117e+00 
       3.336207938458e+00       3.941958332811e+00 
       4.200036952755e+00       2.207952743493e+00 
       5.287533250297e+00       1.229080412949e+00 
       6.656609974506e+00       6.803190457582e-01 
       8.380175453308e+00       3.746234763610e-01 
       1.055001583346e+01       2.053050688272e-01 
       1.328168302758e+01       1.120172938308e-01 
       1.672064827481e+01       6.086707915797e-02 
       2.105004901483e+01       3.294507126011e-02 
       2.650044162429e+01       1.776600379318e-02 
       3.336207938458e+01       9.545988928945e-03 
       4.200036952755e+01       5.110583193857e-03 
       5.287533250297e+01       2.725551734037e-03 
       6.656609974506e+01       1.447376881743e-03 
       8.380175453308e+01       7.647568911990e-04 
       1.055001583346e+02       4.015026618456e-04 
