# Matter power spectrum P(k) at redshift z=0.5
# for k=1.05392e-05 to 105.5 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.053918787543e-05       3.015684555576e+01 
       1.326805143606e-05       3.763355434795e+01 
       1.670348711784e-05       4.696391014805e+01 
       2.102844439823e-05       5.860742918073e+01 
       2.647324302343e-05       7.313750927118e+01 
       3.332783837480e-05       9.126961322322e+01 
       4.195726265021e-05       1.138963832539e+02 
       5.282106415967e-05       1.421313833864e+02 
       6.649777994862e-05       1.773634916261e+02 
       8.371574500521e-05       2.213243902251e+02 
       1.053918787543e-04       2.761720921296e+02 
       1.326805143606e-04       3.445937047874e+02 
       1.670348711784e-04       4.299309320343e+02 
       2.102844439823e-04       5.363313332805e+02 
       2.647324302343e-04       6.689269779799e+02 
       3.332783837480e-04       8.340387479526e+02 
       4.195726265021e-04       1.039398141489e+03 
       5.282106415967e-04       1.294368502872e+03 
       6.649777994862e-04       1.610134864039e+03 
       8.371574500521e-04       1.999817447871e+03 
       1.053918787543e-03       2.478437752887e+03 
       1.326805143606e-03       3.062588640760e+03 
       1.670348711784e-03       3.769444727110e+03 
       2.102844439823e-03       4.615240358336e+03 
       2.647324302343e-03       5.612433727525e+03 
       3.332783837480e-03       6.765991006645e+03 
       4.195726265021e-03       8.068302511923e+03 
       5.282106415967e-03       9.491943731568e+03 
       6.649777994862e-03       1.098198756497e+04 
       8.371574500521e-03       1.244604551859e+04 
       1.053918787543e-02       1.374429988945e+04 
       1.326805143606e-02       1.468714980046e+04 
       1.670348711782e-02       1.504495174164e+04 
       2.102844423000e-02       1.459112754255e+04 
       2.647311508759e-02       1.322336079246e+04 
       3.331014445964e-02       1.114874539017e+04 
       4.136885460944e-02       9.073901116895e+03 
       4.816661498511e-02       7.881445063200e+03 
       5.309592667177e-02       7.291888499673e+03 
       5.716027213130e-02       6.922007755808e+03 
       6.078887689376e-02       6.641512709417e+03 
       6.417301183884e-02       6.396018851001e+03 
       6.741388326782e-02       6.158187390535e+03 
       7.057216188573e-02       5.913475641532e+03 
       7.368769346297e-02       5.654915855973e+03 
       7.678855618444e-02       5.380798276293e+03 
       7.989569616866e-02       5.093340051955e+03 
       8.302550294513e-02       4.797651533558e+03 
       8.619133535352e-02       4.500824688532e+03 
       8.940447334071e-02       4.210930868463e+03 
       9.267473708059e-02       3.936045491403e+03 
       9.601090385039e-02       3.683370611927e+03 
       9.942099686107e-02       3.458422576112e+03 
       1.029124901290e-01       3.264467632174e+03 
       1.064924565837e-01       3.102173797745e+03 
       1.101676767479e-01       2.969453242239e+03 
