# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=0.5
# for k=1.05392e-05 to 105.5 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       1.053918787543e-05      -4.182626733200e-08      -3.348685478830e-09       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       3.014810824647e+01 
       1.326805143606e-05      -8.272413191116e-08      -6.623136572056e-09       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       3.762265304540e+01 
       1.670348711784e-05      -1.636138887898e-07      -1.309944081511e-08       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       4.695030999314e+01 
       2.102844439823e-05      -3.236017001218e-07      -2.590843832274e-08       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       5.859046475429e+01 
       2.647324302343e-05      -6.400292048993e-07      -5.124232443975e-08       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       7.311635434656e+01 
       3.332783837480e-05      -1.265858826151e-06      -1.013479586738e-07       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       9.124324299703e+01 
       4.195726265021e-05      -2.503624578902e-06      -2.004467196030e-07       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.138635343492e+02 
       5.282106415967e-05      -4.949833164577e-06      -3.964622717765e-07       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.420904552279e+02 
       6.649777994862e-05      -9.788078828572e-06      -7.840687446927e-07       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.773127128602e+02 
       8.371574500521e-05      -1.935554848327e-05      -1.550672564595e-06       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.212614787235e+02 
       1.053918787543e-04      -3.827218266604e-05      -3.066705160434e-06       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.760944843696e+02 
       1.326805143606e-04      -7.566904101136e-05      -6.064594872935e-06       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       3.444986312864e+02 
       1.670348711784e-04      -1.495863772342e-04      -1.199213878221e-05       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       4.298157758732e+02 
       2.102844439823e-04      -2.956495664115e-04      -2.371027628325e-05       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       5.361944566383e+02 
       2.647324302343e-04      -5.841619072750e-04      -4.686954382576e-05       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       6.687694576226e+02 
       3.332783837480e-04      -1.153719047930e-03      -9.262143418198e-05       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       8.338678013325e+02 
       4.195726265021e-04      -2.277141788146e-03      -1.829479057811e-04       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.039233514167e+03 
       5.282106415967e-04      -4.490320546483e-03      -3.611051440753e-04       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.294253578835e+03 
       6.649777994862e-04      -8.842721460204e-03      -7.120028981446e-04       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.610154160464e+03 
       8.371574500521e-04      -1.738115221802e-02      -1.401749514920e-03       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.000120261141e+03 
       1.053918787543e-03      -3.407573164739e-02      -2.753828821053e-03       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.479263195904e+03 
       1.326805143606e-03      -6.657113651242e-02      -5.394407747231e-03       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       3.064287153288e+03 
       1.670348711784e-03      -1.294410081020e-01      -1.052553749728e-02       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       3.772506288454e+03 
       2.102844439823e-03      -2.501188399613e-01      -2.043105843588e-02       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       4.620367871349e+03 
       2.647324302343e-03      -4.793792585950e-01      -3.939106904981e-02       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       5.620610086476e+03 
       3.332783837480e-03      -9.091992962392e-01      -7.529138560291e-02       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       6.778459173566e+03 
       4.195726265021e-03      -1.701687994134e+00      -1.423576650012e-01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       8.086611064512e+03 
       5.282106415967e-03      -3.132331974629e+00      -2.655628962808e-01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       9.518162186868e+03 
       6.649777994862e-03      -5.646494116041e+00      -4.872078485458e-01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.101792934985e+04 
       8.371574500521e-03      -9.914145908900e+00      -8.755610920433e-01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.249315595633e+04 
       1.053918787543e-02      -1.683275671051e+01      -1.533332283482e+00       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.380454136584e+04 
       1.326805143606e-02      -2.735588716004e+01      -2.598475798549e+00       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.476061230752e+04 
       1.670348711782e-02      -4.192889996946e+01      -4.221238311991e+00       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.512953517885e+04 
       2.102844423000e-02      -5.926697622984e+01      -6.492661431776e+00       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.468278943912e+04 
       2.647311508759e-02      -7.476497868397e+01      -9.330800696474e+00       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.331401931183e+04 
       3.331014445964e-02      -8.081640331341e+01      -1.246038828964e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.122998487852e+04 
       4.136885460944e-02      -7.441578755548e+01      -1.564530600727e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       9.141912303181e+03 
       4.816661498511e-02      -6.746704038276e+01      -1.842409678733e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       7.941344208422e+03 
       5.309592667177e-02      -6.536299591718e+01      -2.071630394786e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       7.348336768706e+03 
