# power spectrum of B
# redshift z=0.250000
# k              Pk             sigma(k)       sigma(Pk)      count
  5.568222e-03   4.499703e-16   8.519909e-04   5.784938e-17   18
  9.131063e-03   7.264246e-16   8.912382e-04   9.770543e-17   38
  1.253842e-02   8.495281e-16   1.201188e-03   6.320312e-17   90
  1.576526e-02   9.217533e-16   8.300005e-04   4.789091e-17   110
  1.914563e-02   8.509488e-16   8.817756e-04   4.073548e-17   204
  2.286235e-02   7.311160e-16   8.991336e-04   3.383749e-17   290
  2.676755e-02   6.664368e-16   1.107652e-03   2.462125e-17   438
  3.041500e-02   6.138432e-16   1.000644e-03   1.929456e-17   458
  3.364830e-02   5.942636e-16   1.048599e-03   1.867374e-17   558
  3.702688e-02   5.584077e-16   1.011784e-03   1.517220e-17   740
  4.072512e-02   5.440224e-16   9.875824e-04   1.308678e-17   942
  4.439681e-02   4.889678e-16   9.350652e-04   1.062671e-17   1058
  4.797223e-02   4.509823e-16   1.023385e-03   8.905151e-18   1242
  5.140905e-02   4.270889e-16   1.023637e-03   8.168358e-18   1334
  5.478089e-02   3.910889e-16   1.023072e-03   6.691855e-18   1572
  5.843210e-02   3.705098e-16   1.058240e-03   5.752916e-18   1974
  6.212864e-02   3.467297e-16   9.504206e-04   5.199048e-18   2066
  6.565452e-02   3.282241e-16   9.746897e-04   4.863541e-18   2286
  6.908999e-02   2.970337e-16   9.703877e-04   4.223229e-18   2426
  7.257463e-02   2.962631e-16   1.061337e-03   3.796124e-18   2874
  7.613898e-02   2.654702e-16   1.026893e-03   3.425773e-18   3128
  7.968500e-02   2.534738e-16   9.715481e-04   3.133244e-18   3354
  8.329016e-02   2.298773e-16   1.050847e-03   2.629314e-18   3902
  8.688019e-02   2.105219e-16   9.986039e-04   2.375482e-18   3930
  9.028570e-02   1.955550e-16   9.994087e-04   2.159769e-18   4190
  9.372620e-02   1.836989e-16   9.972240e-04   1.915732e-18   4644
  9.734455e-02   1.710478e-16   1.043320e-03   1.653308e-18   5306
  1.010106e-01   1.616972e-16   1.032444e-03   1.561326e-18   5622
  1.045820e-01   1.550526e-16   1.002429e-03   1.427240e-18   5762
  1.080962e-01   1.445019e-16   1.085352e-03   1.296059e-18   6318
  1.115904e-01   1.368012e-16   1.013675e-03   1.211606e-18   6436
  1.151110e-01   1.296814e-16   9.932169e-04   1.078972e-18   7270
  1.187520e-01   1.233243e-16   1.035525e-03   9.972430e-19   7746
  1.222932e-01   1.192702e-16   1.002386e-03   9.406378e-19   7778
  1.258474e-01   1.135194e-16   1.078960e-03   8.529794e-19   8838
  1.294177e-01   1.084330e-16   1.016561e-03   8.164431e-19   8762
  1.328758e-01   1.033575e-16   9.982364e-04   7.588869e-19   9264
  1.364188e-01   9.777635e-17   9.580203e-04   6.781466e-19   10154
  1.400065e-01   9.394172e-17   1.021706e-03   6.607766e-19   10542
  1.435354e-01   8.896530e-17   1.028426e-03   6.138039e-19   10874
  1.470390e-01   8.425049e-17   9.505019e-04   5.547444e-19   11562
