# power spectrum of hij
# redshift z=3.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.044042e-03   6.767062e-17   1.597485e-04   9.203215e-18   18
  1.712074e-03   7.740380e-17   1.671080e-04   9.191626e-18   38
  2.350954e-03   4.744334e-17   2.252225e-04   3.521249e-18   90
  2.955987e-03   3.771385e-17   1.556186e-04   2.763108e-18   110
  3.589806e-03   2.862697e-17   1.653319e-04   1.331134e-18   204
  4.286691e-03   2.363865e-17   1.685941e-04   9.698802e-19   290
  5.018915e-03   1.772451e-17   2.077043e-04   6.240006e-19   438
  5.702813e-03   1.478095e-17   1.876002e-04   4.956679e-19   458
  6.309055e-03   1.233290e-17   1.966516e-04   3.937209e-19   558
  6.942538e-03   1.034019e-17   1.897568e-04   2.570592e-19   740
  7.635959e-03   9.227970e-18   1.851414e-04   2.095905e-19   942
  8.324405e-03   7.862687e-18   1.752053e-04   1.644302e-19   1058
  8.994793e-03   6.925658e-18   1.918280e-04   1.460700e-19   1242
  9.639197e-03   6.143730e-18   1.918431e-04   1.162458e-19   1334
  1.027141e-02   5.172287e-18   1.919913e-04   8.773408e-20   1572
  1.095602e-02   4.556165e-18   1.984910e-04   7.197965e-20   1974
  1.164912e-02   4.032080e-18   1.779454e-04   6.456405e-20   2066
  1.231023e-02   3.449024e-18   1.822822e-04   5.220032e-20   2286
  1.295437e-02   3.161673e-18   1.820974e-04   4.424496e-20   2426
  1.360774e-02   2.964725e-18   1.995447e-04   3.904976e-20   2874
  1.427606e-02   2.678280e-18   1.922085e-04   3.437378e-20   3128
  1.494094e-02   2.396624e-18   1.826794e-04   2.859412e-20   3354
  1.561691e-02   2.085353e-18   1.964772e-04   2.341887e-20   3902
  1.629005e-02   1.923525e-18   1.856895e-04   2.125355e-20   3930
  1.692858e-02   1.731873e-18   1.860313e-04   1.915152e-20   4190
  1.757368e-02   1.549567e-18   1.856188e-04   1.638130e-20   4644
  1.825210e-02   1.438312e-18   1.952102e-04   1.401600e-20   5306
  1.893949e-02   1.282117e-18   1.945987e-04   1.240929e-20   5622
  1.960910e-02   1.213079e-18   1.903644e-04   1.154280e-20   5762
  2.026812e-02   1.094649e-18   1.973040e-04   9.742654e-21   6318
  2.091862e-02   1.002324e-18   1.834463e-04   8.669336e-21   6348
  2.157936e-02   9.162734e-19   1.941468e-04   7.451858e-21   7358
